크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2021년 9월 2일,사동,BHC-안산사동점,hu**님,2021년 9월 2일,뿌링클 콤보/1(디저트(달콤바삭치즈볼)),정말 맛있어요~ 나중에 또 주문할게요~,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 1일,사동,BHC-안산사동점,to**님,2021년 9월 1일,하바네로 포테킹 후라이드/1,항상 잘 먹고있습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/cb472d1b64903b6f0086415dfdf6c94a_tn.jpg
2021년 9월 1일,사동,BHC-안산사동점,zl**님,2021년 9월 1일,뿌링클 스틱/1(디저트(뿌링치즈볼)),배달빠르고맛있음..,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 31일,사동,BHC-안산사동점,   손님,2021년 8월 31일,"하바네로 포테킹 후라이드/1,케이준프라이/1",너무 맛있어요!!!!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/85394a1ad9a9a956a7370530bb2a361c_tn.jpg
2021년 8월 31일,사동,BHC-안산사동점,ch**님,2021년 8월 31일,핫후라이드/1,그냥 후라이드 느끼하신분들이걸루 드셔요 맛납니다ㅎㅎ,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/0a9785334a8aefdbc2ce56102244dd92_tn.jpg
2021년 8월 31일,사동,BHC-안산사동점,pa**님,2021년 8월 31일,양념맵소킹 순살/1,매운거 좋아하시는분은 잘 먹을것같은데저한텐 좀 맵네요~~,4,5,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/c22d9e214155c68da1be7003ebe15a46_tn.jpg
2021년 8월 31일,사동,BHC-안산사동점,yo**님,2021년 8월 31일,"뿌링클 스틱/1,맛초킹순살/1",자주먹는 치킨 아이들이 좋아하는 거게 맛 있게 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 30일,사동,BHC-안산사동점,sk**님,2021년 8월 30일,후라이드/1,맛나게 잘 묵엇ㄷ슴다ㅎ,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/c0e43ec0f56a40ef6e5a80b65a86b153_tn.jpg
2021년 8월 30일,사동,BHC-안산사동점,al**님,2021년 8월 30일,맛초킹 콤보/1(디저트(케이준프라이)),맛있게잘먹었습니당ㅎㅎ콤보 좋아요 ㅎㅎ,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 30일,사동,BHC-안산사동점,hm**님,2021년 8월 30일,맛초킹 콤보/1,매콤하니 맛있어요~~. 술 안주로 딱이네요~,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 30일,사동,BHC-안산사동점,dk**님,2021년 8월 30일,맛초킹순살/1,잘 먹었습니다!!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/c0d19fc5abbbd5f326f7f9701b4448db_tn.jpg
2021년 8월 30일,사동,BHC-안산사동점,ju**님,2021년 8월 30일,뿌링클순살/1,가끔씯 먹으면 맛있네요,4,4,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/73e88c823ec3917eb9e03c1f00fe13dd_tn.jpg
2021년 8월 30일,사동,BHC-안산사동점,10**님,2021년 8월 30일,핫후라이드/1,"맛있읍니다,,,^^",5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/71a51f372b3ae6584bb9e147798ad524_tn.jpg
2021년 8월 29일,사동,BHC-안산사동점,ju**님,2021년 8월 29일,핫후라이드/1,배달/양/맛 모두 만족합니다.오늘도 맛있게 잘 먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2c881e7d702548cea2d0028f3e9989de_tn.jpg
2021년 8월 29일,사동,BHC-안산사동점,le**님,2021년 8월 29일,"뿌링클순살/1(디저트(뿌링소떡)),뿌링핫도그/1,빨간소떡/1",뿌링클소스가 너무 많아서 제취향은 아니네요,3,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 29일,사동,BHC-안산사동점,zx**님,2021년 8월 29일,싸이순살/1,잘 먹었습니다 자주 시켜먹을게요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/3799d8826dd10ad4f78b02eb2eb8775d_tn.jpg
2021년 8월 29일,사동,BHC-안산사동점,ye**님,2021년 8월 29일,레드킹 콤보/1,맛있습니다 또 시킬께요 ㅎ,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/af6a3b522b2334b5e8345da1b55c8e58_tn.jpg
2021년 8월 29일,사동,BHC-안산사동점,pi**님,2021년 8월 29일,후라이드 스틱/1,배송이 좀 걸렸는데 바삭하고 고소하니 맛있어요.스틱이라 먹기도 편해요.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/d82feb625624bb1b80f8012efb9a07d9_tn.jpg
2021년 8월 29일,사동,BHC-안산사동점,sa**님,2021년 8월 29일,뿌링클/1,bhc는 언제나 옳다.. 그러나 사진을 안찍었드아,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 8월 29일,사동,BHC-안산사동점,   손님,2021년 8월 29일,"하바네로 포테킹 후라이드/1,뿌링소떡/1,빨간소떡/1",아 소떡소떡만 맛있네요...치킨은 눅눅하고 느끼하고 진짜 짜증나서 먹다가 버린 치킨은 이게 처음인듯하네요 ㅡㅡ 환불 가능하면 해주시죠 인간적으로 ㅡㅡ 배달이 늦은건지 뭐가 문제인건지는 몰라도 엄청 눅눅하고 맛은 진짜 최악...인생 치킨중 최악이네여...하...,1,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/be83a6e33e6c351065d8b76e7f31e278_tn.jpg
