No.,2VF1 B,3VF1 G,4VF1 R,5IR B,6IR G,7IR R,8VF B,9VF G,10VF R,11LMD B,12LMD G,13LMD R
387,2.227,1.942,1.409,0.012,0.012,0.007,3.07,3.425,2.42,458.8,524.3,622.1
388,2.267,1.926,0,0.079,0.015,10,3.113,3.299,0.157,457.1,523.8,0
389,2.265,1.929,1.397,0.008,0.012,0.011,3.164,3.345,2.327,458.1,523.2,621.4
390,2.275,1.942,1.407,0.008,0.012,0.011,3.181,3.422,2.319,457.4,524.5,622.2
391,2.229,1.936,1.41,0.008,0.012,0.012,3.176,3.294,2.32,458.1,523.9,622.3
392,2.265,1.943,1.409,0.013,0.013,0.007,3.141,3.386,2.405,457.8,521.4,622
393,2.259,1.942,1.408,0.013,0.013,0.007,3.119,3.372,2.4,457.7,521.1,622.4
394,2.243,1.932,1.401,0.013,0.012,0.007,3.329,3.387,2.405,459.5,523.7,621.6
395,2.246,1.938,1.399,0.013,0.013,0.007,3.339,3.314,2.397,458.6,524,621.6
396,2.263,1.938,1.411,0.012,0.013,0.007,3.1,3.29,2.44,457.2,523.7,621.5
397,2.27,1.934,1.4,0.013,0.013,0.007,3.315,3.358,2.412,457.8,523.8,621.3
398,2.25,1.935,1.4,0.012,0.012,0.007,3.394,3.348,2.407,459.2,523.3,621.3
399,2.266,1.931,1.4,0.013,0.013,0.007,3.097,3.36,2.4,457.6,524.1,621.6
400,2.245,1.942,1.409,0.013,0.013,0.007,3.113,3.432,2.423,458.8,524.7,622
401,2.223,1.928,1.4,0.013,0.013,0.007,3.111,3.385,2.4,457.6,523.6,621.5
402,2.267,1.939,1.408,0.014,0.014,0.007,3.094,3.362,2.402,457.2,521.1,622
403,2.259,1.94,1.407,0.008,0.012,0.011,3.195,3.366,2.32,457.7,521.2,622
404,2.254,1.935,1.4,0.012,0.013,0.006,3.361,3.355,2.41,459,523.5,621.3
405,2.252,1.935,1.399,0.013,0.012,0.007,3.339,3.353,2.41,458.7,523.5,621.2
406,2.263,1.938,1.408,0.009,0.012,0.011,3.387,3.313,2.332,458.3,523.9,621.8
407,2.264,1.934,1.408,0.013,0.013,0.007,3.136,3.307,2.399,457.7,523.8,622.1
408,2.275,1.931,1.398,0.007,0.011,0.011,3.448,3.377,2.318,457.4,524,621.5
409,2.271,1.946,1.409,0.013,0.013,0.007,3.087,3.432,2.42,457.6,524.4,621.9
410,2.251,1.935,1.417,0.008,0.011,0.012,3.434,3.295,2.362,458.8,523.9,621.9
411,2.252,1.934,1.4,0.012,0.013,0.007,3.34,3.359,2.403,458.4,523.9,621.5
