No.,15IV B,16IV G,17IV R,8VF B,9VF G,10VF R,11LMD B,12LMD G,13LMD R
78274,2.1132,8.848,7.046,3.467,3.725,2.414,458.3,526,621.4
78275,2.2153,8.856,7.014,3.401,3.662,2.43,459.3,524.9,621.3
78276,2.061,8.927,7.045,3.267,3.62,2.722,457.9,525,621.2
78277,2.078,8.8,7.04,3.347,3.728,2.418,457.5,524.2,621.3
78278,2.0811,8.875,7.004,3.354,3.426,2.397,457.6,526.2,621.5
78279,2.17,8.874,7.024,3.259,3.659,2.453,458.2,525.7,621.2
78280,2.0937,8.808,7.035,3.13,3.625,2.557,457.8,523.9,621.4
78281,2.0521,8.826,7.126,3.228,3.555,2.607,457.5,525.3,621.1
78282,2.149,8.63,7.098,3.191,3.765,2.526,458.1,525.9,621.4
78283,2.1025,8.562,6.891,3.406,3.451,2.417,457.5,525,621.5
78284,2.035,8.595,7.017,3.124,3.604,2.605,457.4,525.1,621.2
78285,2.1604,8.778,7.199,3.375,3.53,2.447,459,524.1,621.3
78286,2.0942,8.747,6.906,3.348,3.405,2.457,457.5,525.2,621.9
78287,2.0652,8.818,7.079,3.143,3.643,2.727,457.7,524.1,621.3
78288,2.0584,8.966,7.101,3.323,3.64,2.436,458,524.6,621.4
78289,2.0652,8.825,7,3.335,3.693,2.453,457.5,524.8,621.2
78290,2.0454,8.816,7.1,3.151,3.694,2.599,457.4,524.6,621.2
78291,2.0781,8.793,7.003,3.339,3.612,2.464,457.5,524.3,621.5
78292,2.1067,8.995,7.066,3.174,3.728,2.695,457.7,525.4,621.2
78293,2.0846,8.458,6.934,3.127,3.419,2.601,457.6,525,621.3
78294,2.0789,8.916,7.064,3.298,3.804,2.449,457.6,524.5,621.3
78295,2.0727,8.67,7.038,3.26,3.682,2.585,457.4,524.9,621.4
78296,2.0781,8.567,7.019,3.425,3.798,2.425,458.1,524.6,621.5
78297,2.079,8.71,7.063,3.118,3.892,2.554,457.8,524.2,621.2
78298,1.9955,8.822,7.008,3.27,3.915,2.485,457.5,525.6,621.4
78299,2.0988,8.71,7.061,3.265,3.776,2.584,457.8,524.5,621.4
78300,2.2968,8.694,7.074,3.447,3.876,2.481,460,523.9,621.3
78301,2.0399,8.615,7.087,3.106,3.813,2.694,457.7,524.1,621.4
78302,2.1284,8.848,6.961,3.167,3.776,2.606,458.1,525.1,621.4
78303,2.079,8.898,6.953,3.438,3.803,2.434,457.7,525.6,621.3
78304,2.1416,8.647,7.202,3.308,3.655,2.432,458.6,523.9,621.2
78305,2.1638,8.774,7.039,3.32,4.035,2.67,458.5,524.4,621.3
78306,2.1091,8.728,7.105,3.285,3.783,2.415,457.8,523.9,621.1
